Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	channel_126	channel_127N	channel_127C	channel_128N	channel_128C	channel_129N	channel_129C	channel_130N	channel_130C	channel_131N	channel_131C	channel_132N	channel_132C	channel_133N	channel_133C	channel_134N
sp|P38646|GRP75_HUMAN	P38646	GRP75_HUMAN	HSPA9	679	Homo sapiens	Stress-70 protein, mitochondrial	1:Experimental evidence at protein level	55.67	1.0000	0.9990	52	51	51	132	126	126	350451776	231431504	350451776	11K(304.2071), 11M(15.9949), 12K(304.2071), 12M(15.9949), 13K(304.2071), 14C(57.0214), 14K(304.2071), 15K(304.2071), 16K(304.2071), 17K(304.2071), 18K(304.2071), 18M(15.9949), 19K(304.2071), 1K(304.2071), 20M(15.9949), 21K(304.2071), 21M(15.9949), 22K(304.2071), 26K(304.2071), 2K(304.2071), 2M(15.9949), 3C(57.0214), 3M(15.9949), 4K(304.2071), 4M(15.9949), 5C(57.0214), 5K(304.2071), 6M(15.9949), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)			3704617.7146	4606017.4973	4930827.7485	31613708.6875	29324122.3359	35795668.2598	4879117.9448	6385371.4282	4873443.3237	31635097.6016	31796375.0254	27163328.1758	819309.3062	398069.0107	0.0000	0.0000
sp|P38919|IF4A3_HUMAN	P38919	IF4A3_HUMAN	EIF4A3	411	Homo sapiens	Eukaryotic initiation factor 4A-III	1:Experimental evidence at protein level	36.98	1.0000	0.9990	13	11	11	22	18	18	29443598	16964840	29443598	12K(304.2071), 13C(57.0214), 13M(15.9949), 14K(304.2071), 16C(57.0214), 16K(304.2071), 2M(15.9949), 4M(15.9949), 5K(304.2071), 6M(15.9949), 8K(304.2071), 9M(15.9949), N-term(304.2071), N-term(42.0106)			907389.5020	1059470.6133	1115986.5410	2274411.2773	2103075.3164	2062803.8359	972936.3008	1274891.8125	924578.4258	1568119.1250	1250021.9883	1133963.4863	37353.9902	21843.6207	0.0000	0.0000
sp|P38935|SMBP2_HUMAN	P38935	SMBP2_HUMAN	IGHMBP2	993	Homo sapiens	DNA-binding protein SMUBP-2	1:Experimental evidence at protein level	4.33	1.0000	0.9990	5	5	5	6	6	6	5494671	5494671	5494671	18K(304.2071), 5C(57.0214), 9K(304.2071), N-term(304.2071)			373663.7441	413372.1797	421646.8965	593682.4648	572744.5820	511830.6582	394639.7949	524034.3984	405962.0645	468526.4629	452418.3340	370732.2266	13654.6738	9414.7207	0.0000	0.0000
sp|P38936|CDN1A_HUMAN	P38936	CDN1A_HUMAN	CDKN1A	164	Homo sapiens	Cyclin-dependent kinase inhibitor 1	1:Experimental evidence at protein level	12.80	1.0000	0.9988	2	2	2	2	2	2	1912116	1912116	1912116	2C(57.0214), 4C(57.0214), 6M(15.9949), 7K(304.2071), 9C(57.0214), N-term(304.2071)			59028.8242	63232.3750	67918.4258	144208.0859	169834.1445	168377.9180	84829.5195	102561.1289	89367.6230	119664.9688	117674.9727	86232.6582	6190.2410	2725.2271	0.0000	0.0000
sp|P39019|RS19_HUMAN	P39019	RS19_HUMAN	RPS19	145	Homo sapiens	40S ribosomal protein S19	1:Experimental evidence at protein level	76.55	1.0000	0.9990	19	19	19	47	47	47	260342664	260342664	260342664	10K(304.2071), 11K(304.2071), 14K(304.2071), 1K(304.2071), 1M(15.9949), 2K(304.2071), 4K(304.2071), 4M(15.9949), 6K(304.2071), 7K(304.2071), 8M(15.9949), 9K(304.2071), N-term(304.2071)			6631008.4570	6780775.1953	6760531.4121	8122281.5654	8379950.0918	8805632.6592	7520957.3828	8998737.0410	9309075.0898	6696965.7646	6700449.6426	4631515.9512	120975.6355	38377.8051	0.0000	0.0000
sp|P39023|RL3_HUMAN	P39023	RL3_HUMAN	RPL3	403	Homo sapiens	60S ribosomal protein L3	1:Experimental evidence at protein level	44.17	1.0000	0.9990	30	29	30	50	48	50	403454072	403454072	403454072	10K(304.2071), 11C(57.0214), 11K(304.2071), 12K(304.2071), 15K(304.2071), 16K(304.2071), 16M(15.9949), 17K(304.2071), 18M(15.9949), 1K(304.2071), 24K(304.2071), 26K(304.2071), 2C(57.0214), 3K(304.2071), 3M(15.9949), 4K(304.2071), 4M(15.9949), 5K(304.2071), 5M(15.9949), 6K(304.2071), 7K(304.2071), 7M(15.9949), 8K(304.2071), 9K(304.2071), 9M(15.9949), N-term(304.2071)			7178931.4609	6627002.8672	7766832.9902	8846447.5977	9830225.2773	8581741.0430	7017478.8379	8698579.0703	7686961.9531	6956676.8164	5783161.2500	4877117.2930	152634.4469	83939.2863	0.0000	0.0000
sp|P39656|OST48_HUMAN	P39656	OST48_HUMAN	DDOST	456	Homo sapiens	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	1:Experimental evidence at protein level	12.06	1.0000	0.9990	6	6	6	7	7	7	86298910	86298910	86298910	11K(304.2071), 7K(304.2071), N-term(304.2071)			269592.5693	308970.3501	387122.8721	1765949.4922	1571217.1094	1630959.9434	365752.3657	508793.0190	377485.3643	1372356.5938	1283822.4707	1038223.6621	33902.1865	10691.9694	0.0000	0.0000
sp|P39687|AN32A_HUMAN	P39687	AN32A_HUMAN	ANP32A	249	Homo sapiens	Acidic leucine-rich nuclear phosphoprotein 32 family member A	1:Experimental evidence at protein level	22.49	1.0000	0.9990	7	4	7	10	5	10	44207780	38382875	44207780	11K(304.2071), 13K(304.2071), 1C(57.0214), 6K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)			687205.5137	774233.7227	771379.1992	1086725.0039	1106996.9609	1238445.6289	778693.5117	850808.5137	736763.2461	950058.4062	640905.3066	558017.9043	20014.6191	4988.0386	0.0000	0.0000
sp|P39748|FEN1_HUMAN	P39748	FEN1_HUMAN	FEN1	380	Homo sapiens	Flap endonuclease 1	1:Experimental evidence at protein level	37.63	1.0000	0.9990	13	13	13	16	16	16	33456385	33456385	33456385	11C(57.0214), 13K(304.2071), 16K(304.2071), 18M(15.9949), 19K(304.2071), 20K(304.2071), 20M(15.9949), 6C(57.0214), 7K(304.2071), 9K(304.2071), 9M(15.9949), N-term(304.2071)			2107894.1904	2171313.8154	2336385.7012	2570674.6016	2496116.3633	2292308.8076	1858785.5625	2333727.2812	1957060.5859	1682973.6855	1425517.6367	1332973.4717	28906.8038	14274.9977	0.0000	0.0000
sp|P39880|CUX1_HUMAN	P39880	CUX1_HUMAN	CUX1	1505	Homo sapiens	Homeobox protein cut-like 1	1:Experimental evidence at protein level	6.25	1.0000	0.9990	9	9	9	9	9	9	12399552	12399552	12399552	10K(304.2071), 13K(304.2071), 19K(304.2071), 7K(304.2071), 8K(304.2071), N-term(304.2071)			344157.9707	453317.8457	471356.4941	1277606.4102	1379380.3516	1141244.2832	334839.9961	423550.9551	331584.1807	945415.7505	978341.3579	774236.9380	23899.6372	7423.9915	0.0000	0.0000
sp|P40121|CAPG_HUMAN	P40121	CAPG_HUMAN	CAPG	348	Homo sapiens	Macrophage-capping protein	1:Experimental evidence at protein level	28.16	1.0000	0.9990	9	9	9	11	11	11	12589082	12589082	12589082	10K(304.2071), 11K(304.2071), 11M(15.9949), 12K(304.2071), 15K(304.2071), 22K(304.2071), 3K(304.2071), 8M(15.9949), N-term(304.2071)			520907.7764	525497.1309	656595.3760	674379.4844	704306.0371	765020.8682	2503421.1953	3538941.3672	2859020.3945	1039709.7383	1072360.6289	815331.6406	27791.9150	14488.9277	0.0000	0.0000
sp|P40123|CAP2_HUMAN	P40123	CAP2_HUMAN	CAP2	477	Homo sapiens	Adenylyl cyclase-associated protein 2	1:Experimental evidence at protein level	40.67	1.0000	0.9990	17	16	16	29	27	27	101583342	101583342	101583342	10K(304.2071), 11K(304.2071), 12M(15.9949), 15C(57.0214), 15K(304.2071), 18K(304.2071), 1K(304.2071), 21K(304.2071), 24K(304.2071), 2M(15.9949), 3M(15.9949), 4C(57.0214), 4M(15.9949), 7K(304.2071), 8C(57.0214), 9M(15.9949), N-term(304.2071), N-term(42.0106)			3441951.6328	3486885.4971	4012816.1660	4186343.8398	3619023.1797	4137170.1387	3962553.7090	5304936.1602	4076972.8789	3116867.0049	2697685.5332	2385110.8428	90086.9445	36863.0736	0.0000	1046.0964
sp|P40222|TXLNA_HUMAN	P40222	TXLNA_HUMAN	TXLNA	546	Homo sapiens	Alpha-taxilin	1:Experimental evidence at protein level	38.64	1.0000	0.9990	17	17	17	24	24	24	8646994	8646994	8646994	10K(304.2071), 11K(304.2071), 12M(15.9949), 14K(304.2071), 37K(304.2071), 4M(15.9949), 5M(15.9949), 6C(57.0214), 6M(15.9949), 7K(304.2071), 7M(15.9949), 8K(304.2071), 9K(304.2071), N-term(304.2071)			1595089.6738	1631570.9746	1800449.8213	2315504.7979	2234244.6855	2137373.0244	1614782.8154	2150908.8623	1738318.6035	1586154.0537	1498156.6484	1327611.5830	38357.7126	21277.5415	0.0000	0.0000
sp|P40227|TCPZ_HUMAN	P40227	TCPZ_HUMAN	CCT6A	531	Homo sapiens	T-complex protein 1 subunit zeta	1:Experimental evidence at protein level	46.89	1.0000	0.9990	26	21	26	48	41	48	178310304	178310304	178310304	10K(304.2071), 11K(304.2071), 12K(304.2071), 13M(15.9949), 14K(304.2071), 15K(304.2071), 16K(304.2071), 19M(15.9949), 1K(304.2071), 20M(15.9949), 21K(304.2071), 25K(304.2071), 2C(57.0214), 2M(15.9949), 3C(57.0214), 3M(15.9949), 4K(304.2071), 6C(57.0214), 7C(57.0214), 7K(304.2071), 8K(304.2071), 9K(304.2071), 9M(15.9949), N-term(304.2071)			11611209.2344	10102906.5234	10833236.2031	10665574.8223	9834523.5098	9809739.3184	9636391.4258	12435119.7461	9514398.1641	7507151.4023	5488896.9482	5103852.1318	145447.7021	59592.2440	0.0000	0.0000
sp|P40261|NNMT_HUMAN	P40261	NNMT_HUMAN	NNMT	264	Homo sapiens	Nicotinamide N-methyltransferase	1:Experimental evidence at protein level	6.44	1.0000	0.9984	3	3	3	3	3	3	1868781	1868781	1868781	2K(304.2071), 4K(304.2071), 6K(304.2071), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)			105298.7539	125401.7812	177445.1562	105861.1250	121139.2539	142040.2461	567000.4219	629391.8750	796435.3438	195853.2656	168009.3477	132800.0664	6771.7061	1157.4508	0.0000	0.0000
sp|P40424|PBX1_HUMAN	P40424	PBX1_HUMAN	PBX1	430	Homo sapiens	Pre-B-cell leukemia transcription factor 1	1:Experimental evidence at protein level	16.05	1.0000	0.9990	4	2	4	5	3	5	3681065	3037954	3681065	13M(15.9949), 15K(304.2071), 4C(57.0214), 4M(15.9949), 8M(15.9949), N-term(304.2071)			215222.5215	227677.6777	240404.3711	332239.4609	314546.8242	301316.4883	263460.9766	313282.9062	260843.1367	262763.6914	226192.4238	192772.1250	0.0000	3892.2915	0.0000	0.0000
sp|P40426|PBX3_HUMAN	P40426	PBX3_HUMAN	PBX3	434	Homo sapiens	Pre-B-cell leukemia transcription factor 3	1:Experimental evidence at protein level	12.21	1.0000	0.9990	3	2	2	3	2	2	2397499	1754388	2397499	13M(15.9949), N-term(304.2071)			52339.3896	50589.9473	56468.0889	68331.9180	68114.5410	68333.4824	108102.3633	120527.1523	115462.2285	84144.1621	79971.5293	67066.7754	3072.8767	1453.4738	0.0000	0.0000
sp|P40429|RL13A_HUMAN	P40429	RL13A_HUMAN	RPL13A	203	Homo sapiens	60S ribosomal protein L13a	1:Experimental evidence at protein level	38.92	1.0000	0.9990	15	11	15	21	13	21	136956020	136956020	136956020	10K(304.2071), 11K(304.2071), 12K(304.2071), 13K(304.2071), 14K(304.2071), 1C(57.0214), 1K(304.2071), 2K(304.2071), 3K(304.2071), 4K(304.2071), 5K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)			4087831.9570	3830987.6582	4481284.5703	4259316.2617	4739564.4043	3726494.5273	4465742.4766	5967547.8438	5138629.2383	3119120.5605	3202516.6875	2775743.2734	92319.8655	51641.2578	0.0000	0.0000
sp|P40616|ARL1_HUMAN	P40616	ARL1_HUMAN	ARL1	181	Homo sapiens	ADP-ribosylation factor-like protein 1	1:Experimental evidence at protein level	7.73	1.0000	0.9990	2	2	2	2	2	2	524308	524308	524308	14K(304.2071), 6M(15.9949), N-term(304.2071)			101913.5234	110397.8359	125186.9707	272257.8672	245963.1406	262938.1836	111992.1621	135143.5547	107727.5098	194896.9941	156895.0771	131370.0928	5082.6001	4117.7783	0.0000	0.0000
sp|P40692|MLH1_HUMAN	P40692	MLH1_HUMAN	MLH1	756	Homo sapiens	DNA mismatch repair protein Mlh1	1:Experimental evidence at protein level	7.41	1.0000	0.9990	6	6	6	8	8	8	4288871	4288871	4288871	10K(304.2071), 15M(15.9949), 18K(304.2071), 1K(304.2071), 5M(15.9949), 7K(304.2071), 8K(304.2071), N-term(304.2071)			552985.3789	639949.3633	594190.9062	679469.6211	741445.9922	650830.3008	577505.3984	807532.2500	646946.2305	564373.2422	548500.7539	475791.7891	16063.6533	2891.1859	0.0000	0.0000
sp|P40763|STAT3_HUMAN	P40763	STAT3_HUMAN	STAT3	770	Homo sapiens	Signal transducer and activator of transcription 3	1:Experimental evidence at protein level	20.39	1.0000	0.9990	15	14	15	29	28	29	34386575	34386575	34386575	10K(304.2071), 11K(304.2071), 17K(304.2071), 1K(304.2071), 22K(304.2071), 2C(57.0214), 2M(15.9949), 3K(304.2071), 3M(15.9949), 4M(15.9949), 5K(304.2071), 5M(15.9949), 6K(304.2071), 7K(304.2071), 8K(304.2071), 8M(15.9949), 9K(304.2071), N-term(304.2071)			1695836.2002	1675866.4482	2021120.7637	1836974.2891	1879081.7812	1812663.6514	2426061.3223	3346464.2773	2760010.0605	1560636.9893	1446797.5713	1170942.5449	31948.1594	13388.1968	0.0000	0.0000
sp|P40818|UBP8_HUMAN	P40818	UBP8_HUMAN	USP8	1118	Homo sapiens	Ubiquitin carboxyl-terminal hydrolase 8	1:Experimental evidence at protein level	16.46	1.0000	0.9990	21	21	21	25	25	25	13073331	13073331	13073331	10K(304.2071), 12K(304.2071), 13K(304.2071), 14K(304.2071), 17K(304.2071), 1C(57.0214), 1K(304.2071), 2C(57.0214), 2K(304.2071), 5K(304.2071), 6C(57.0214), 6K(304.2071), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)			1524315.3594	1515752.2422	1750834.9570	1554725.0664	1573267.6602	1487896.3438	1801915.5117	2492541.5742	2019124.1719	1238762.7422	1154679.3848	994090.7363	48671.0100	7147.6985	0.0000	0.0000
sp|P40925|MDHC_HUMAN	P40925	MDHC_HUMAN	MDH1	334	Homo sapiens	Malate dehydrogenase, cytoplasmic	1:Experimental evidence at protein level	52.40	1.0000	0.9990	21	21	21	64	64	64	433059576	433059576	433059576	10K(304.2071), 11K(304.2071), 11M(15.9949), 12C(57.0214), 12K(304.2071), 17K(304.2071), 1K(304.2071), 20K(304.2071), 2K(304.2071), 3C(57.0214), 3M(15.9949), 4K(304.2071), 4M(15.9949), 5C(57.0214), 5M(15.9949), 6K(304.2071), 6M(15.9949), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)			17202019.1660	15182641.1992	17337272.1992	15191625.7832	14567180.2188	14361883.9785	15745226.0293	19368007.6641	14893615.0098	10732809.2051	8802899.6211	7531359.8066	223790.1367	89310.3120	0.0000	0.0000
sp|P40926|MDHM_HUMAN	P40926	MDHM_HUMAN	MDH2	338	Homo sapiens	Malate dehydrogenase, mitochondrial	1:Experimental evidence at protein level	66.27	1.0000	0.9990	26	26	26	91	91	91	780508496	780508496	780508496	10K(304.2071), 10M(15.9949), 11C(57.0214), 11K(304.2071), 12K(304.2071), 12M(15.9949), 13K(304.2071), 15C(57.0214), 17K(304.2071), 18K(304.2071), 1K(304.2071), 22K(304.2071), 2C(57.0214), 2K(304.2071), 4K(304.2071), 5K(304.2071), 6C(57.0214), 7K(304.2071), 8K(304.2071), 9C(57.0214), 9K(304.2071), 9M(15.9949), N-term(304.2071)			3064988.4729	3449298.5522	4294221.1646	21686107.4141	23614429.5215	32244941.9512	3916334.8296	5195885.2412	4205779.4893	22651829.1934	27175216.0391	25476117.1660	660828.4641	312826.6362	0.0000	0.0000
sp|P40937|RFC5_HUMAN	P40937	RFC5_HUMAN	RFC5	340	Homo sapiens	Replication factor C subunit 5	1:Experimental evidence at protein level	7.94	1.0000	0.9990	3	3	3	4	4	4	2063640	2063640	2063640	10M(15.9949), 7K(304.2071), 9K(304.2071), N-term(304.2071)			167073.6602	176148.5547	189366.0840	375100.4336	376385.3438	350334.2539	174876.6172	214358.0859	180629.6504	315360.5000	240857.1445	229414.1230	8067.5222	0.0000	0.0000	0.0000
sp|P40938|RFC3_HUMAN	P40938	RFC3_HUMAN	RFC3	356	Homo sapiens	Replication factor C subunit 3	1:Experimental evidence at protein level	15.73	1.0000	0.9990	5	5	5	5	5	5	3282002	3282002	3282002	10K(304.2071), 4C(57.0214), 4M(15.9949), 5C(57.0214), 8C(57.0214), 9K(304.2071), N-term(304.2071)			347919.9932	389492.8105	414793.8926	773202.7070	713429.4297	717794.3672	393268.1416	534825.5684	376990.7305	569160.9590	540304.6230	500147.9316	15575.4995	11634.3774	0.0000	0.0000
sp|P40939|ECHA_HUMAN	P40939	ECHA_HUMAN	HADHA	763	Homo sapiens	Trifunctional enzyme subunit alpha, mitochondrial	1:Experimental evidence at protein level	36.96	1.0000	0.9990	30	30	30	45	45	45	78051870	78051870	78051870	10K(304.2071), 11K(304.2071), 12C(57.0214), 12K(304.2071), 12M(15.9949), 13C(57.0214), 13K(304.2071), 14K(304.2071), 15K(304.2071), 16K(304.2071), 17K(304.2071), 18K(304.2071), 1C(57.0214), 1K(304.2071), 23M(15.9949), 25K(304.2071), 2K(304.2071), 3M(15.9949), 4K(304.2071), 4M(15.9949), 5K(304.2071), 5M(15.9949), 6K(304.2071), 6M(15.9949), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)			1320960.6665	1850694.5049	1863637.6167	10352038.4414	9743992.6289	10231606.9492	1749185.8345	2346461.3623	1824584.8896	10899483.8164	9437974.2969	7853822.1641	257793.4269	107135.9030	0.0000	0.0000
sp|P41091|IF2G_HUMAN	P41091	IF2G_HUMAN	EIF2S3	472	Homo sapiens	Eukaryotic translation initiation factor 2 subunit 3	1:Experimental evidence at protein level	41.10	1.0000	0.9990	18	5	18	19	5	19	44122312	7149992	44122312	10K(304.2071), 11C(57.0214), 14C(57.0214), 14K(304.2071), 15K(304.2071), 18K(304.2071), 19K(304.2071), 25K(304.2071), 2C(57.0214), 3K(304.2071), 5K(304.2071), 5M(15.9949), 6C(57.0214), 6K(304.2071), 7K(304.2071), 8C(57.0214), 8M(15.9949), 9C(57.0214), N-term(304.2071), N-term(42.0106)			3211254.8496	3323515.7207	3668986.7402	3261762.8477	3112139.8770	3065278.0254	3614905.7969	4647650.0117	3609396.2930	2436647.9023	2032786.0801	1769227.7676	56733.3751	26218.0308	0.0000	0.0000
sp|P41208|CETN2_HUMAN	P41208	CETN2_HUMAN	CETN2	172	Homo sapiens	Centrin-2	1:Experimental evidence at protein level	26.74	1.0000	0.9990	6	4	6	6	4	6	7701990	7353204	7701990	12K(304.2071), 13K(304.2071), 1K(304.2071), 4K(304.2071), 4M(15.9949), 7K(304.2071), 9K(304.2071), N-term(304.2071)			300728.6953	358417.1309	367252.8867	444166.4941	435769.9141	474424.4004	481549.9844	545492.4727	477233.3359	344020.5293	287732.9668	218320.0410	5354.7742	1136.3694	0.0000	0.0000
sp|P41214|EIF2D_HUMAN	P41214	EIF2D_HUMAN	EIF2D	584	Homo sapiens	Eukaryotic translation initiation factor 2D	1:Experimental evidence at protein level	7.88	1.0000	0.9990	4	4	4	4	4	4	3960369	3960369	3960369	10K(304.2071), 14K(304.2071), 1C(57.0214), N-term(304.2071)			323593.3594	351619.1992	385766.4453	486018.7812	431783.8594	453183.4180	438927.3750	533428.5312	414209.0195	395234.5625	294971.4844	241279.7109	11423.4004	0.0000	0.0000	0.0000
sp|P41217|OX2G_HUMAN	P41217	OX2G_HUMAN	CD200	278	Homo sapiens	OX-2 membrane glycoprotein	1:Experimental evidence at protein level	11.87	1.0000	0.9990	2	2	2	3	3	3	2603575	2603575	2603575	10K(304.2071), 23K(304.2071), 7M(15.9949), N-term(304.2071)			55798.5088	71649.9219	92793.8496	767095.2109	584328.1875	630419.3359	74527.6543	83362.9824	61290.4180	409816.4766	343172.3164	265538.6680	7362.8396	3163.2188	0.0000	0.0000
sp|P41219|PERI_HUMAN	P41219	PERI_HUMAN	PRPH	470	Homo sapiens	Peripherin	1:Experimental evidence at protein level	68.94	1.0000	0.9990	42	37	37	90	62	62	711113680	86108758	711113680	10K(304.2071), 10M(15.9949), 11C(57.0214), 11K(304.2071), 14K(304.2071), 15K(304.2071), 16K(304.2071), 1K(304.2071), 2K(304.2071), 3K(304.2071), 4K(304.2071), 5C(57.0214), 5K(304.2071), 5M(15.9949), 6M(15.9949), 7C(57.0214), 7K(304.2071), 9K(304.2071), N-term(304.2071)			2844743.6172	3232782.3218	3662208.1074	6758498.8262	7168278.1670	7577046.1377	8091908.4258	14474711.0117	9077393.6562	12197165.2148	13988049.2207	10434156.5840	356737.2814	166953.0725	0.0000	0.0000
sp|P41223|BUD31_HUMAN	P41223	BUD31_HUMAN	BUD31	144	Homo sapiens	Protein BUD31 homolog	1:Experimental evidence at protein level	21.53	1.0000	0.9990	4	4	4	4	4	4	8387884	8387884	8387884	10K(304.2071), 4C(57.0214), 7C(57.0214), 8C(57.0214), 9C(57.0214), N-term(304.2071)			435556.6562	452204.0234	493752.1133	882076.6875	928559.5625	821611.7812	500542.6172	677853.0391	568008.7422	737273.5000	682111.3125	562483.9766	10720.7773	7031.9991	0.0000	0.0000
sp|P41227|NAA10_HUMAN	P41227	NAA10_HUMAN	NAA10	235	Homo sapiens	N-alpha-acetyltransferase 10	1:Experimental evidence at protein level	31.91	1.0000	0.9990	8	4	8	13	6	13	28523218	15934566	28523218	11C(57.0214), 11M(15.9949), 12K(304.2071), 15K(304.2071), 2M(15.9949), 5M(15.9949), 8K(304.2071), 9K(304.2071), N-term(304.2071)			1581449.2715	1717645.4922	1784248.9102	1881649.3984	1896779.6836	1809592.0391	1624349.1055	2107790.7383	1782412.5430	1488816.4961	1301551.2168	1116705.6406	35339.7593	17179.9198	0.0000	0.0000
sp|P41229|KDM5C_HUMAN	P41229	KDM5C_HUMAN	KDM5C	1560	Homo sapiens	Lysine-specific demethylase 5C	1:Experimental evidence at protein level	6.79	1.0000	0.9990	10	6	10	11	7	11	8089195	6486361	8089195	1C(57.0214), 2C(57.0214), 3M(15.9949), 4C(57.0214), 5C(57.0214), 6C(57.0214), 7K(304.2071), 9C(57.0214), 9K(304.2071), N-term(304.2071)			734001.5352	770462.2422	828139.9121	803177.0977	798428.9531	758335.8867	472293.6660	615653.8184	503229.0000	490463.9746	456718.3867	396520.8828	16134.1792	1551.2454	0.0000	0.0000
sp|P41236|IPP2_HUMAN	P41236	IPP2_HUMAN	PPP1R2	205	Homo sapiens	Protein phosphatase inhibitor 2	1:Experimental evidence at protein level	18.05	1.0000	0.9990	4	1	4	4	1	4	2886343	395371	2886343	11K(304.2071), 1K(304.2071), 2K(304.2071), 7M(15.9949), 9K(304.2071), 9M(15.9949), N-term(304.2071)			244766.5801	287146.7266	324853.3555	359220.5586	381477.6172	405185.4883	297040.9004	363089.8203	296159.0117	258955.4160	233898.0527	192133.0723	2062.5129	2747.6989	0.0000	0.0000
sp|P41240|CSK_HUMAN	P41240	CSK_HUMAN	CSK	450	Homo sapiens	Tyrosine-protein kinase CSK	1:Experimental evidence at protein level	29.56	1.0000	0.9990	14	14	14	16	16	16	13448235	13448235	13448235	10C(57.0214), 10K(304.2071), 11K(304.2071), 12C(57.0214), 14K(304.2071), 14M(15.9949), 15C(57.0214), 15K(304.2071), 18K(304.2071), 18M(15.9949), 19K(304.2071), 22K(304.2071), 2M(15.9949), 3K(304.2071), 4K(304.2071), 4M(15.9949), 7C(57.0214), 7K(304.2071), 7M(15.9949), 8K(304.2071), N-term(304.2071)			1846810.7852	1843847.0801	1997454.2402	1723689.7295	1730452.8965	1656855.7324	1707677.9082	2143383.9297	1751423.6797	1284798.4766	1202783.6328	1000443.5537	27962.2069	10155.1205	0.0000	0.0000
sp|P41250|GARS_HUMAN	P41250	GARS_HUMAN	GARS1	739	Homo sapiens	Glycine--tRNA ligase	1:Experimental evidence at protein level	28.69	1.0000	0.9990	25	25	25	36	36	36	56489532	56489532	56489532	10K(304.2071), 11K(304.2071), 12K(304.2071), 12M(15.9949), 13K(304.2071), 13M(15.9949), 14C(57.0214), 14K(304.2071), 16K(304.2071), 16M(15.9949), 17K(304.2071), 1C(57.0214), 24K(304.2071), 2C(57.0214), 2K(304.2071), 3K(304.2071), 3M(15.9949), 4K(304.2071), 5M(15.9949), 6K(304.2071), 7C(57.0214), 7K(304.2071), 8K(304.2071), N-term(304.2071)			4167370.8105	4109500.2178	4574031.7695	4486614.9609	4411156.1230	4233315.4688	4279669.7715	5535128.2891	4518406.0527	3465797.1504	2943645.8369	2607837.0693	77884.6730	33185.3556	0.0000	0.0000
sp|P41252|SYIC_HUMAN	P41252	SYIC_HUMAN	IARS1	1262	Homo sapiens	Isoleucine--tRNA ligase, cytoplasmic	1:Experimental evidence at protein level	16.09	1.0000	0.9990	23	23	23	31	31	31	14432306	14432306	14432306	10C(57.0214), 10K(304.2071), 11K(304.2071), 12K(304.2071), 13K(304.2071), 14K(304.2071), 16K(304.2071), 1C(57.0214), 1K(304.2071), 2C(57.0214), 2K(304.2071), 3C(57.0214), 3K(304.2071), 3M(15.9949), 4K(304.2071), 4M(15.9949), 5K(304.2071), 6M(15.9949), 7K(304.2071), 8K(304.2071), 8M(15.9949), 9K(304.2071), 9M(15.9949), N-term(304.2071)			2263595.5078	2657777.9355	2792793.5527	3851190.4785	3683769.2051	3560249.1641	2602754.9258	3224467.8125	2541613.6621	2745022.3242	2260811.1807	1921560.1279	73545.7490	38274.5912	0.0000	0.0000
sp|P41586|PACR_HUMAN	P41586	PACR_HUMAN	ADCYAP1R1	468	Homo sapiens	Pituitary adenylate cyclase-activating polypeptide type I receptor	1:Experimental evidence at protein level	5.13	1.0000	0.9985	2	2	2	4	4	4	2244536	2244536	2244536	4M(15.9949), 5C(57.0214), 8K(304.2071), N-term(304.2071)			25056.6748	31941.6113	38325.6914	152774.6211	152849.5078	154373.4609	40975.1016	65442.4121	48995.9082	217049.3203	289192.9453	204455.2969	7572.9712	0.0000	0.0000	0.0000
sp|P41594|GRM5_HUMAN	P41594	GRM5_HUMAN	GRM5	1212	Homo sapiens	Metabotropic glutamate receptor 5	1:Experimental evidence at protein level	8.66	1.0000	0.9990	11	10	11	13	12	13	25911259	7974786	25911259	12K(304.2071), 13K(304.2071), 1C(57.0214), 3C(57.0214), 7C(57.0214), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)			501134.8506	608852.0977	635980.5410	3382330.9531	3100595.1719	2916347.2891	637889.0234	845608.6787	638526.6377	1986997.7051	2072262.2246	1767122.2930	47365.1932	27037.0933	0.0000	0.0000
