Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	channel_126	channel_127N	channel_127C	channel_128N	channel_128C	channel_129N	channel_129C	channel_130N	channel_130C	channel_131N	channel_131C	channel_132N	channel_132C	channel_133N	channel_133C	channel_134N
sp|O75915|PRAF3_HUMAN	O75915	PRAF3_HUMAN	ARL6IP5	188	false	false	Homo sapiens	PRA1 family protein 3	1:Experimental evidence at protein level	27.66	1.0000	0.9990	0.00000000000000	7	7	7	17	17	17	117588140	117588140	117588140	3M(15.9949), 4M(15.9949), 7K(304.2072), N-term(304.2072)			512238.5732	366044.1606	622330.0381	243307.0891	269041.9548	259781.7214	1379805.1465	1285027.4395	1400748.8379	1314585.3574	1100824.6504	1099662.8516	22694.8900	10354.9768	0.0000	0.0000
sp|O75935|DCTN3_HUMAN	O75935	DCTN3_HUMAN	DCTN3	186	false	false	Homo sapiens	Dynactin subunit 3	1:Experimental evidence at protein level	17.20	1.0000	0.9990	0.00000000000000	4	4	4	4	4	4	4732746	4732746	4732746	1K(304.2072), 7K(304.2072), 8K(304.2072), N-term(304.2072)			250593.6719	202611.9941	391858.8906	215543.0781	257832.5703	233482.8555	168061.6406	165790.8105	179660.3770	179197.0625	139568.4355	139511.0801	0.0000	0.0000	0.0000	0.0000
sp|O75936|BODG_HUMAN	O75936	BODG_HUMAN	BBOX1	387	false	false	Homo sapiens	Gamma-butyrobetaine dioxygenase	1:Experimental evidence at protein level	26.61	1.0000	0.9990	0.00000000000000	9	9	9	9	9	9	5323152	5323152	5323152	12K(304.2072), 14K(304.2072), 17C(57.0215), 19K(304.2072), 3C(57.0215), 5C(57.0215), 6M(15.9949), 7K(304.2072), 8C(57.0215), 9K(304.2072), N-term(304.2072)			492230.6211	408147.9688	660907.6289	681812.3516	599548.2930	680786.9141	438530.6895	506621.4531	552009.7480	461586.1465	400827.2402	474361.8398	12819.3835	7521.0972	0.0000	0.0000
sp|O75937|DNJC8_HUMAN	O75937	DNJC8_HUMAN	DNAJC8	253	false	false	Homo sapiens	DnaJ homolog subfamily C member 8	1:Experimental evidence at protein level	19.76	1.0000	0.9990	0.00000000000000	6	6	6	6	6	6	12471736	12471736	12471736	11K(304.2072), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			326783.4648	238452.8301	515568.6875	451731.5469	551011.2656	496545.8477	470264.3887	412590.6748	458122.1738	553411.7988	539563.2168	543442.9766	16821.6685	14953.7889	0.0000	0.0000
sp|O75940|SPF30_HUMAN	O75940	SPF30_HUMAN	SMNDC1	238	false	false	Homo sapiens	Survival of motor neuron-related-splicing factor 30	1:Experimental evidence at protein level	30.25	1.0000	0.9990	0.00000000000000	6	6	6	6	6	6	8231286	8231286	8231286	10K(304.2072), 11K(304.2072), 12K(304.2072), 13M(15.9949), 21K(304.2072), 2K(304.2072), 2M(15.9949), 6C(57.0215), 6K(304.2072), 8M(15.9949), N-term(304.2072)			90637.1973	73122.2007	138775.5645	178610.9180	212161.0625	194166.0586	163545.4170	160250.8125	181802.2031	225978.7129	220008.4648	195326.8047	2162.2700	1758.7844	0.0000	0.0000
sp|O75947|ATP5H_HUMAN	O75947	ATP5H_HUMAN	ATP5PD	161	false	false	Homo sapiens	ATP synthase subunit d, mitochondrial	1:Experimental evidence at protein level	14.91	1.0000	0.9990	0.00000000000000	4	4	4	4	4	4	5594391	5594391	5594391	10K(304.2072), 7K(304.2072), 9K(304.2072), N-term(304.2072)			90671.3926	71492.9092	127097.3447	79585.9297	97272.5947	91520.1230	759449.9609	798319.8750	813616.2109	610194.1641	595476.3047	636391.1719	15991.0608	6736.7455	0.0000	0.0000
sp|O75953|DNJB5_HUMAN	O75953	DNJB5_HUMAN	DNAJB5	348	false	false	Homo sapiens	DnaJ homolog subfamily B member 5	1:Experimental evidence at protein level	14.08	1.0000	0.9990	0.00000000000000	5	5	5	5	5	5	1760632	1760632	1760632	12K(304.2072), 2K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			188648.4492	150296.4805	245318.6699	187144.9590	190277.1045	193218.1006	136629.3867	155974.3711	169680.1270	176973.4219	155916.8477	192128.7803	7093.7809	2659.1041	0.0000	0.0000
sp|O75955|FLOT1_HUMAN	O75955	FLOT1_HUMAN	FLOT1	427	false	false	Homo sapiens	Flotillin-1	1:Experimental evidence at protein level	37.00	1.0000	0.9990	0.00000000000000	16	16	16	20	20	20	12873384	12873384	12873384	11K(304.2072), 11M(15.9949), 14K(304.2072), 15K(304.2072), 2K(304.2072), 5M(15.9949), 6C(57.0215), 6M(15.9949), 7K(304.2072), 8K(304.2072), N-term(304.2072)			753744.2026	592337.5718	1031148.0713	535950.3394	580861.3735	566516.2495	1334707.7578	1611574.2402	1784371.5117	1457905.9082	1328568.3145	1359926.1250	37382.1311	11546.6904	0.0000	0.0000
sp|O75962|TRIO_HUMAN	O75962	TRIO_HUMAN	TRIO	3097	false	false	Homo sapiens	Triple functional domain protein	1:Experimental evidence at protein level	14.72	1.0000	0.9990	0.00000000000000	48	40	48	50	42	50	42036564	11734487	42036564	10C(57.0215), 10K(304.2072), 11K(304.2072), 12K(304.2072), 13K(304.2072), 16K(304.2072), 17K(304.2072), 1C(57.0215), 1K(304.2072), 2M(15.9949), 4C(57.0215), 4K(304.2072), 4M(15.9949), 5C(57.0215), 5M(15.9949), 6K(304.2072), 7K(304.2072), 8K(304.2072), 8M(15.9949), 9K(304.2072), N-term(304.2072)			2225342.8027	1836581.2852	2649054.1934	1788142.6465	2070853.1611	1992262.7188	1517117.6587	1645805.9678	1697384.9248	1793613.9023	1591415.4414	2052775.1914	37483.4099	22982.2406	0.0000	0.0000
sp|O75964|ATP5L_HUMAN	O75964	ATP5L_HUMAN	ATP5MG	103	false	false	Homo sapiens	ATP synthase subunit g, mitochondrial	1:Experimental evidence at protein level	44.66	1.0000	0.9990	0.00000000000000	5	4	5	7	6	7	11266230	11266230	11266230	11K(304.2072), 12K(304.2072), 13K(304.2072), 1K(304.2072), 6K(304.2072), 7K(304.2072), N-term(304.2072)			78319.3184	67886.2146	107675.2593	86912.3862	89116.2520	100391.1470	463029.7383	649594.4492	627568.2930	441170.5215	399120.9941	366147.6074	14887.7126	4497.7094	0.0000	0.0000
sp|O75970|MPDZ_HUMAN	O75970	MPDZ_HUMAN	MPDZ	2070	false	false	Homo sapiens	Multiple PDZ domain protein	1:Experimental evidence at protein level	12.95	1.0000	0.9990	0.00000000000000	23	22	23	25	24	25	8748524	8748524	8748524	10C(57.0215), 10K(304.2072), 11C(57.0215), 12K(304.2072), 13K(304.2072), 19K(304.2072), 1K(304.2072), 24K(304.2072), 2K(304.2072), 5K(304.2072), 7K(304.2072), 8M(15.9949), 9K(304.2072), N-term(304.2072)			658706.3604	496379.6729	868815.1230	506488.1846	533768.7222	503735.9971	825137.8047	1000446.4414	1142770.3867	1110646.2129	1078515.6631	1081935.6572	33658.2721	16459.2759	0.0000	0.0000
sp|O75976|CBPD_HUMAN	O75976	CBPD_HUMAN	CPD	1380	false	false	Homo sapiens	Carboxypeptidase D	1:Experimental evidence at protein level	32.39	1.0000	0.9990	0.00000000000000	42	42	42	48	48	48	16025563	16025563	16025563	10K(304.2072), 10M(15.9949), 11C(57.0215), 11K(304.2072), 12K(304.2072), 12M(15.9949), 14K(304.2072), 15K(304.2072), 1K(304.2072), 22K(304.2072), 2K(304.2072), 2M(15.9949), 3K(304.2072), 4C(57.0215), 4K(304.2072), 4M(15.9949), 5M(15.9949), 6C(57.0215), 6M(15.9949), 7K(304.2072), 7M(15.9949), 8K(304.2072), 9K(304.2072), N-term(304.2072)			856450.0830	673794.0281	1133984.8828	710660.6093	746767.5355	694759.8459	3057202.3037	2923575.2490	3406570.2363	3165704.9648	3175246.0674	2970680.3232	86522.3246	37362.3878	0.0000	0.0000
sp|O76003|GLRX3_HUMAN	O76003	GLRX3_HUMAN	GLRX3	335	false	false	Homo sapiens	Glutaredoxin-3	1:Experimental evidence at protein level	22.99	1.0000	0.9990	0.00000000000000	9	9	9	10	10	10	4063744	4063744	4063744	11K(304.2072), 12K(304.2072), 14K(304.2072), 3K(304.2072), 4M(15.9949), 7K(304.2072), 7M(15.9949), 8K(304.2072), N-term(304.2072)			264784.5537	237883.2891	408679.9854	398814.2646	431536.2383	406893.0889	152172.0215	189986.1670	192285.0518	198994.9209	154094.2871	160532.3691	2089.6050	2063.3386	0.0000	0.0000
sp|O76021|RL1D1_HUMAN	O76021	RL1D1_HUMAN	RSL1D1	490	false	false	Homo sapiens	Ribosomal L1 domain-containing protein 1	1:Experimental evidence at protein level	21.22	1.0000	0.9990	0.00000000000000	13	13	13	14	14	14	5265088	5265088	5265088	10K(304.2072), 11K(304.2072), 13K(304.2072), 17K(304.2072), 1K(304.2072), 20K(304.2072), 2K(304.2072), 7C(57.0215), 7K(304.2072), 9K(304.2072), N-term(304.2072)			360687.2803	283074.3096	434977.3818	313147.3462	336620.3496	407041.8032	996085.2520	1162078.9258	1329105.4492	738441.6279	700896.6016	774073.5664	22930.9596	13207.0273	0.0000	0.0000
sp|O76024|WFS1_HUMAN	O76024	WFS1_HUMAN	WFS1	890	false	false	Homo sapiens	Wolframin	1:Experimental evidence at protein level	13.93	1.0000	0.9990	0.00000000000000	14	14	14	17	17	17	14382721	14382721	14382721	11M(15.9949), 3M(15.9949), 6M(15.9949), 7K(304.2072), 8K(304.2072), N-term(304.2072)			248962.3608	210369.4924	326021.1152	212551.0427	240518.9507	228836.2148	1049859.2324	1209830.2734	1544557.5000	1674198.9062	1642182.5039	1475341.2227	34214.6321	11491.0753	0.0000	0.0000
sp|O76031|CLPX_HUMAN	O76031	CLPX_HUMAN	CLPX	633	false	false	Homo sapiens	ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial	1:Experimental evidence at protein level	19.43	1.0000	0.9990	0.00000000000000	12	12	12	13	13	13	2971567	2971567	2971567	12K(304.2072), 13K(304.2072), 14K(304.2072), 4K(304.2072), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			385534.4868	305644.0181	532113.0283	284540.9829	263097.5132	244043.5713	714772.8613	695143.8066	799017.0381	931822.3223	819385.4316	928210.7930	31889.5514	15022.3280	0.0000	0.0000
sp|O76054|S14L2_HUMAN	O76054	S14L2_HUMAN	SEC14L2	403	false	false	Homo sapiens	SEC14-like protein 2	1:Experimental evidence at protein level	14.64	1.0000	0.9990	0.00000000000000	6	6	6	6	6	6	3017249	3017249	3017249	15K(304.2072), 2C(57.0215), 2K(304.2072), 4M(15.9949), 7K(304.2072), 8K(304.2072), 9C(57.0215), N-term(304.2072)			245966.5527	200786.6094	361446.1328	376595.4219	429712.7305	379536.0430	169368.9414	198906.5957	200097.6934	210139.0879	179855.1436	199804.7539	3875.6525	1604.5032	0.0000	0.0000
sp|O76062|ERG24_HUMAN	O76062	ERG24_HUMAN	TM7SF2	418	false	false	Homo sapiens	Delta(14)-sterol reductase TM7SF2	1:Experimental evidence at protein level	8.61	1.0000	0.9990	0.00000000000000	5	5	5	6	6	6	16044485	16044485	16044485	1K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			236139.3867	181537.7930	285613.1191	182322.1738	193111.5117	189044.6699	728906.3516	805475.0820	958016.7188	771897.4961	794088.1328	794044.9453	26748.3423	14189.1152	0.0000	0.0000
sp|O76070|SYUG_HUMAN	O76070	SYUG_HUMAN	SNCG	127	false	false	Homo sapiens	Gamma-synuclein	1:Experimental evidence at protein level	63.78	1.0000	0.9990	0.00000000000000	6	4	6	6	4	6	4282864	2260826	4282864	11K(304.2072), 15K(304.2072), 17K(304.2072), 1K(304.2072), 22K(304.2072), 2K(304.2072), 9K(304.2072), N-term(304.2072)			162398.1504	163461.4727	262596.8965	318674.2734	457141.4023	395392.2148	183493.2119	154403.7256	161098.0117	174352.4805	163582.3867	136425.7334	1957.2443	0.0000	0.0000	0.0000
sp|O76071|CIAO1_HUMAN	O76071	CIAO1_HUMAN	CIAO1	339	false	false	Homo sapiens	Probable cytosolic iron-sulfur protein assembly protein CIAO1	1:Experimental evidence at protein level	14.75	1.0000	0.9990	0.00000000000000	5	5	5	5	5	5	7622740	7622740	7622740	19K(304.2072), 4C(57.0215), 7C(57.0215), N-term(304.2072)			348299.5996	266825.9326	440691.5449	380737.3516	390574.3184	386603.3262	188685.8779	186361.2676	192482.6318	232585.9980	203078.7070	238497.3350	5237.5304	3510.4170	0.0000	0.0000
sp|O76094|SRP72_HUMAN	O76094	SRP72_HUMAN	SRP72	671	false	false	Homo sapiens	Signal recognition particle subunit SRP72	1:Experimental evidence at protein level	34.87	1.0000	0.9990	0.00000000000000	23	23	23	32	32	32	20194320	20194320	20194320	10K(304.2072), 11K(304.2072), 13C(57.0215), 13K(304.2072), 14C(57.0215), 15K(304.2072), 17K(304.2072), 3C(57.0215), 3K(304.2072), 3M(15.9949), 4C(57.0215), 5M(15.9949), 6K(304.2072), 7K(304.2072), 8K(304.2072), 8M(15.9949), 9K(304.2072), N-term(304.2072)			1016900.7744	738480.0635	1229760.6152	1228673.8652	1401819.1680	1331460.8809	1170168.1875	1330173.4941	1444448.7285	2212469.3789	2021562.2070	2281436.1875	70906.5584	31253.0221	0.0000	0.0000
sp|O94760|DDAH1_HUMAN	O94760	DDAH1_HUMAN	DDAH1	285	false	false	Homo sapiens	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1	1:Experimental evidence at protein level	62.11	1.0000	0.9990	0.00000000000000	16	15	16	23	22	23	34869885	34869885	34869885	10K(304.2072), 12K(304.2072), 14K(304.2072), 15K(304.2072), 16K(304.2072), 21K(304.2072), 2K(304.2072), 2M(15.9949), 3C(57.0215), 3K(304.2072), 5M(15.9949), 7C(57.0215), 8C(57.0215), 8K(304.2072), N-term(304.2072), N-term(42.0106)			1152796.5469	915047.9312	1901915.4873	1205961.8584	1486689.4121	1230538.2695	1116155.3740	1058983.2031	1178796.4697	841019.7031	673925.9722	663829.7588	16793.7289	12500.1813	0.0000	0.0000
sp|O94763|RMP_HUMAN	O94763	RMP_HUMAN	URI1	535	false	false	Homo sapiens	Unconventional prefoldin RPB5 interactor 1	1:Experimental evidence at protein level	8.22	1.0000	0.9990	0.00000000000000	5	5	5	6	6	6	3052135	3052135	3052135	12K(304.2072), 14K(304.2072), 5C(57.0215), 9K(304.2072), N-term(304.2072)			186611.0703	154282.1816	256751.4980	246914.4844	275643.0059	251783.2266	125327.5654	136709.1064	142682.3770	201745.7852	174721.5977	180496.7959	6002.5864	3074.1935	0.0000	0.0000
sp|O94766|B3GA3_HUMAN	O94766	B3GA3_HUMAN	B3GAT3	335	false	false	Homo sapiens	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3	1:Experimental evidence at protein level	16.72	1.0000	0.9990	0.00000000000000	4	4	4	5	5	5	3774050	3774050	3774050	8K(304.2072), N-term(304.2072)			33955.3625	24652.8920	48157.0728	53409.2744	48861.6260	50299.9985	235988.5781	245443.5664	291022.7031	286647.1836	258703.9844	240942.6660	8466.6521	2854.2758	0.0000	0.0000
sp|O94772|LY6H_HUMAN	O94772	LY6H_HUMAN	LY6H	140	false	false	Homo sapiens	Lymphocyte antigen 6H	1:Experimental evidence at protein level	33.57	1.0000	0.9990	0.00000000000000	6	6	6	10	10	10	76520018	76520018	76520018	10K(304.2072), 1K(304.2072), 1M(15.9949), 2C(57.0215), 5C(57.0215), 6C(57.0215), 7K(304.2072), 8K(304.2072), 9C(57.0215), N-term(304.2072)			121234.0498	98735.0310	173876.4014	98568.1665	114231.1094	106703.3313	973623.4492	843454.4570	845857.4375	572204.4824	538859.5684	380099.1885	6576.3569	2615.3918	0.0000	0.0000
sp|O94776|MTA2_HUMAN	O94776	MTA2_HUMAN	MTA2	668	false	false	Homo sapiens	Metastasis-associated protein MTA2	1:Experimental evidence at protein level	26.95	1.0000	0.9990	0.00000000000000	18	15	18	18	15	18	8254420	7437458	8254420	14C(57.0215), 2K(304.2072), 2M(15.9949), 4C(57.0215), 7K(304.2072), 7M(15.9949), 8K(304.2072), 8M(15.9949), 9K(304.2072), N-term(304.2072)			566376.9688	407707.5835	753863.5088	610885.8535	566965.5459	639625.1836	623149.4219	638068.2842	687547.9336	865780.0293	829091.2969	838243.9961	24016.9518	10998.8651	0.0000	0.0000
sp|O94805|ACL6B_HUMAN	O94805	ACL6B_HUMAN	ACTL6B	426	false	false	Homo sapiens	Actin-like protein 6B	1:Experimental evidence at protein level	18.31	1.0000	0.9990	0.00000000000000	8	4	4	10	5	5	4100266	1439170	4100266	10K(304.2072), 2K(304.2072), 6M(15.9949), 8K(304.2072), 8M(15.9949), 9K(304.2072), N-term(304.2072)			169759.4590	146363.9004	246382.9219	196087.6621	202272.9297	233869.1133	214085.1367	243240.0723	262339.1289	207455.4844	165578.6348	173457.9707	2757.0154	3007.3405	0.0000	0.0000
sp|O94811|TPPP_HUMAN	O94811	TPPP_HUMAN	TPPP	219	false	false	Homo sapiens	Tubulin polymerization-promoting protein	1:Experimental evidence at protein level	25.57	1.0000	0.9990	0.00000000000000	6	6	6	7	7	7	8158332	8158332	8158332	14K(304.2072), 2C(57.0215), 8K(304.2072), 9K(304.2072), N-term(304.2072)			213306.4551	186520.9731	405372.4668	564062.1016	755293.9180	491320.3633	190977.4580	189311.9102	208501.1538	274009.5371	261921.4199	231008.2656	1884.3425	1438.0361	0.0000	0.0000
sp|O94812|BAIP3_HUMAN	O94812	BAIP3_HUMAN	BAIAP3	1187	false	false	Homo sapiens	BAI1-associated protein 3	1:Experimental evidence at protein level	1.94	1.0000	0.9985	0.00068575347163	3	3	3	3	3	3	1809659	1809659	1809659	7K(304.2072), N-term(304.2072)			106183.6133	83243.8965	121167.8965	100294.0098	106945.6484	93391.9043	77860.6797	87527.8145	85445.2363	95785.5820	97974.9551	107886.0332	1614.7731	1125.5923	0.0000	0.0000
sp|O94813|SLIT2_HUMAN	O94813	SLIT2_HUMAN	SLIT2	1529	false	false	Homo sapiens	Slit homolog 2 protein	1:Experimental evidence at protein level	23.28	1.0000	0.9990	0.00000000000000	33	30	33	43	39	43	16453946	11427139	16453946	10K(304.2072), 11C(57.0215), 11K(304.2072), 12C(57.0215), 12K(304.2072), 14K(304.2072), 15C(57.0215), 16K(304.2072), 19C(57.0215), 1C(57.0215), 1K(304.2072), 23K(304.2072), 3C(57.0215), 4C(57.0215), 4K(304.2072), 5C(57.0215), 5M(15.9949), 6C(57.0215), 7C(57.0215), 7K(304.2072), 8C(57.0215), 8K(304.2072), 8M(15.9949), 9C(57.0215), 9K(304.2072), N-term(304.2072)			826106.3894	636394.8091	1046672.1399	1744562.8184	2214733.9668	1867079.7803	1263202.3818	1287263.4150	1367452.6997	4191222.9609	4293015.4355	4330957.4004	127027.2372	68516.8538	0.0000	0.0000
sp|O94818|NOL4_HUMAN	O94818	NOL4_HUMAN	NOL4	638	false	false	Homo sapiens	Nucleolar protein 4	1:Experimental evidence at protein level	3.76	1.0000	0.9990	0.00000000000000	3	1	3	3	1	3	2809953	1635289	2809953	7K(304.2072), N-term(304.2072)			67365.5469	54586.2109	84729.2617	90089.3965	91938.1621	91375.9082	69443.4111	80690.2969	83270.8730	144442.8027	124754.2422	149154.2383	894.9636	0.0000	0.0000	0.0000
sp|O94819|KBTBB_HUMAN	O94819	KBTBB_HUMAN	KBTBD11	623	false	false	Homo sapiens	Kelch repeat and BTB domain-containing protein 11	1:Experimental evidence at protein level	26.00	1.0000	0.9990	0.00000000000000	14	14	14	15	15	15	10816802	10816802	10816802	2C(57.0215), 4M(15.9949), N-term(304.2072)			847905.4414	719862.6777	1008117.6680	636307.2832	665890.4668	691322.6211	533431.2256	663873.7959	686975.9619	631695.7354	535812.7402	624538.3652	12620.5348	3550.8059	0.0000	0.0000
sp|O94822|LTN1_HUMAN	O94822	LTN1_HUMAN	LTN1	1766	false	false	Homo sapiens	E3 ubiquitin-protein ligase listerin	1:Experimental evidence at protein level	1.70	1.0000	0.9990	0.00000000000000	4	4	4	4	4	4	5740383	5740383	5740383	3C(57.0215), 6C(57.0215), 7K(304.2072), 9K(304.2072), N-term(304.2072)			188797.8926	139028.0898	226305.2148	201645.2461	237384.8047	212543.6426	124167.4453	142452.5977	146840.0215	189470.4336	180009.4805	204350.7910	3567.6636	2083.3442	0.0000	0.0000
sp|O94826|TOM70_HUMAN	O94826	TOM70_HUMAN	TOMM70	608	false	false	Homo sapiens	Mitochondrial import receptor subunit TOM70	1:Experimental evidence at protein level	49.84	1.0000	0.9990	0.00000000000000	30	30	30	52	52	52	23173542	23173542	23173542	10C(57.0215), 10K(304.2072), 12C(57.0215), 12K(304.2072), 13K(304.2072), 15C(57.0215), 15K(304.2072), 15M(15.9949), 16K(304.2072), 17K(304.2072), 18C(57.0215), 19M(15.9949), 1C(57.0215), 1K(304.2072), 22K(304.2072), 23K(304.2072), 2K(304.2072), 2M(15.9949), 3K(304.2072), 3M(15.9949), 4K(304.2072), 4M(15.9949), 5C(57.0215), 5K(304.2072), 5M(15.9949), 6C(57.0215), 6K(304.2072), 6M(15.9949), 7K(304.2072), 8C(57.0215), 8K(304.2072), 8M(15.9949), 9K(304.2072), N-term(304.2072)			827799.9048	710232.9263	1134312.7109	781468.1670	842918.2275	846776.3032	3625939.4902	4146363.3984	4603818.8574	5018768.9473	4771521.4004	5031202.7559	137305.7770	55157.4576	0.0000	0.0000
sp|O94829|IPO13_HUMAN	O94829	IPO13_HUMAN	IPO13	963	false	false	Homo sapiens	Importin-13	1:Experimental evidence at protein level	5.61	1.0000	0.9990	0.00000000000000	5	5	5	6	6	6	1322123	1322123	1322123	14K(304.2072), 2K(304.2072), 6C(57.0215), 8C(57.0215), N-term(304.2072)			113614.2690	89597.4707	139514.5732	182204.4004	198590.1758	196587.5918	95056.3467	99947.4941	104476.3301	120977.7275	104614.6338	110761.9434	1930.4341	0.0000	0.0000	0.0000
sp|O94830|DDHD2_HUMAN	O94830	DDHD2_HUMAN	DDHD2	711	false	false	Homo sapiens	Phospholipase DDHD2	1:Experimental evidence at protein level	10.83	1.0000	0.9990	0.00000000000000	8	8	8	8	8	8	26738084	26738084	26738084	10C(57.0215), 11K(304.2072), 14K(304.2072), 5C(57.0215), 9K(304.2072), N-term(304.2072)			146887.7080	129823.6494	215847.4766	220951.6875	229030.9824	225174.5215	151035.4697	182456.5361	200464.5879	190229.8203	174670.1748	193670.2588	3855.3779	1328.8450	0.0000	0.0000
sp|O94855|SC24D_HUMAN	O94855	SC24D_HUMAN	SEC24D	1032	false	false	Homo sapiens	Protein transport protein Sec24D	1:Experimental evidence at protein level	11.92	1.0000	0.9990	0.00000000000000	13	12	12	15	13	13	5311667	5311667	5311667	13K(304.2072), 17K(304.2072), 2C(57.0215), 4C(57.0215), 6K(304.2072), 7K(304.2072), 8C(57.0215), 8K(304.2072), N-term(304.2072)			418681.7988	350592.7480	594940.8047	803837.9375	805042.8223	842993.4023	889847.5986	966541.4590	1069702.7344	1082224.6777	1000346.8691	1054814.9707	25402.1936	11784.8588	0.0000	0.0000
sp|O94856|NFASC_HUMAN	O94856	NFASC_HUMAN	NFASC	1347	false	false	Homo sapiens	Neurofascin	1:Experimental evidence at protein level	21.01	1.0000	0.9990	0.00000000000000	28	28	28	29	29	29	17117564	17117564	17117564	10K(304.2072), 14C(57.0215), 14K(304.2072), 17K(304.2072), 19K(304.2072), 1K(304.2072), 20K(304.2072), 2K(304.2072), 3C(57.0215), 4K(304.2072), 7C(57.0215), 8C(57.0215), 8K(304.2072), 9C(57.0215), 9K(304.2072), N-term(304.2072)			905013.4453	627320.7539	1202062.9453	566091.9595	608160.3335	582652.2109	3075588.1758	2479468.4609	2745182.6270	1559603.6182	1539408.1885	1601651.8271	44122.8833	22337.3101	0.0000	0.0000
sp|O94868|FCSD2_HUMAN	O94868	FCSD2_HUMAN	FCHSD2	740	false	false	Homo sapiens	F-BAR and double SH3 domains protein 2	1:Experimental evidence at protein level	17.57	1.0000	0.9990	0.00000000000000	13	13	13	14	14	14	4764031	4764031	4764031	10K(304.2072), 16K(304.2072), 3K(304.2072), 6C(57.0215), 6M(15.9949), 7C(57.0215), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			447492.4014	373426.7695	537598.1777	354916.3296	377386.5205	373389.7354	360216.4473	454997.8955	482041.2441	593199.6436	570624.4707	602573.5840	18251.0337	5150.7363	0.0000	0.0000
sp|O94874|UFL1_HUMAN	O94874	UFL1_HUMAN	UFL1	794	false	false	Homo sapiens	E3 UFM1-protein ligase 1	1:Experimental evidence at protein level	31.86	1.0000	0.9990	0.00000000000000	27	26	27	33	32	33	26350138	26350138	26350138	10K(304.2072), 11K(304.2072), 12K(304.2072), 13K(304.2072), 14K(304.2072), 15K(304.2072), 1K(304.2072), 25K(304.2072), 2C(57.0215), 2M(15.9949), 5C(57.0215), 7K(304.2072), 8K(304.2072), 8M(15.9949), N-term(304.2072)			572948.8755	459381.0002	737376.3911	422744.2332	448902.5864	448291.5427	1776586.8193	2038234.5176	2548086.9492	2961209.6543	2644156.5234	2646786.3125	68416.9824	16783.2864	0.0000	0.0000
sp|O94875|SRBS2_HUMAN	O94875	SRBS2_HUMAN	SORBS2	1100	false	false	Homo sapiens	Sorbin and SH3 domain-containing protein 2	1:Experimental evidence at protein level	11.82	1.0000	0.9990	0.00000000000000	12	12	12	12	12	12	6809092	6809092	6809092	11K(304.2072), 12K(304.2072), 1K(304.2072), 6K(304.2072), 7K(304.2072), 9K(304.2072), 9M(15.9949), N-term(304.2072)			343904.3301	291119.7539	472088.1328	424267.2305	524242.6699	516607.3164	401424.1270	446535.5938	464450.4277	717969.6094	698071.1621	772628.9531	20014.6836	14346.4255	0.0000	0.0000
sp|O94876|TMCC1_HUMAN	O94876	TMCC1_HUMAN	TMCC1	653	false	false	Homo sapiens	Transmembrane and coiled-coil domains protein 1	1:Experimental evidence at protein level	13.78	1.0000	0.9990	0.00000000000000	10	7	9	11	8	10	6519913	3250107	6519913	1K(304.2072), 2M(15.9949), 6M(15.9949), 7K(304.2072), 8K(304.2072), 9C(57.0215), 9K(304.2072), N-term(304.2072)			236654.5039	180194.0508	271030.4092	134035.8901	158936.0234	150554.0361	525684.3340	580655.0723	672149.8438	602809.3223	567760.7227	601086.8691	12972.2576	3686.8068	0.0000	0.0000
sp|O94885|SASH1_HUMAN	O94885	SASH1_HUMAN	SASH1	1247	false	false	Homo sapiens	SAM and SH3 domain-containing protein 1	1:Experimental evidence at protein level	5.21	1.0000	0.9990	0.00000000000000	6	6	6	6	6	6	1661521	1661521	1661521	11K(304.2072), 12K(304.2072), 16K(304.2072), 2C(57.0215), 2K(304.2072), N-term(304.2072)			101654.2939	89870.2700	149427.0469	115299.3672	124953.3770	108238.0459	98312.0078	106420.8574	114811.1699	128748.4941	110299.6143	115974.4277	0.0000	1104.0830	0.0000	0.0000
sp|O94886|CSCL1_HUMAN	O94886	CSCL1_HUMAN	TMEM63A	807	false	false	Homo sapiens	CSC1-like protein 1	1:Experimental evidence at protein level	2.35	1.0000	0.9990	0.00000000000000	2	2	2	3	3	3	915888	915888	915888	1C(57.0215), 6C(57.0215), 7K(304.2072), N-term(304.2072)			40832.4648	33571.8242	58562.1045	37235.0439	42163.0693	37045.4521	154873.3867	181653.3945	207101.6836	219090.2383	210912.0391	175298.3555	4068.8585	0.0000	0.0000	0.0000
